Department,Job,Q1,Q2,Q3,Q4
Sales,Senior Financial Analyst,512,1024,0,0
Sales,Senior Quality Engineer,0,0,512,0
Sales,Social Worker,0,0,0,512
Sales,Software Test Engineer IV,0,512,0,0
Sales,Staff Accountant I,0,512,0,0
Sales,Staff Accountant III,0,512,0,0
Sales,Staff Accountant IV,0,0,512,0
Sales,Staff Scientist,0,0,0,512
Sales,Statistician II,512,512,0,0
Sales,Systems Administrator IV,512,0,512,0
Sales,Teacher,0,0,512,512
Sales,VP Accounting,0,0,512,1536
Sales,Web Designer I,512,0,0,0
Sales,Web Developer III,512,0,0,512
Services,Account Coordinator,0,0,0,512
Services,Account Executive,0,0,1024,0
Services,Accountant I,0,0,0,512
Services,Accountant III,0,0,512,0
Services,Accounting Assistant I,0,512,0,0
Services,Accounting Assistant IV,0,512,0,0
Services,Administrative Assistant I,512,0,0,0
Services,Analog Circuit Design manager,0,0,0,512
Services,Analyst Programmer,0,512,512,512
Services,Assistant Professor,0,0,0,512
Services,Associate Professor,0,512,1024,0
Services,Biostatistician II,0,512,0,0
Services,Biostatistician III,0,512,512,512
Services,Biostatistician IV,0,512,512,0
Services,Budget/Accounting Analyst II,0,0,512,0
Services,Budget/Accounting Analyst III,0,1024,0,0
Services,Budget/Accounting Analyst IV,0,1536,512,0
Services,Chemical Engineer,0,512,0,0
Services,Chief Design Engineer,0,0,0,512
Services,Civil Engineer,0,0,512,512
Services,Clinical Specialist,512,512,1024,512
Services,Community Outreach Specialist,512,512,1024,0
Services,Computer Systems Analyst IV,0,0,512,0
Services,Cost Accountant,512,0,0,0
Services,Data Coordiator,0,512,0,512
Services,Database Administrator I,0,0,1024,0
Services,Database Administrator IV,0,512,0,0
Services,Dental Hygienist,0,1024,0,0
Services,Design Engineer,0,0,512,0
Services,Developer I,0,512,1024,0
Services,Developer II,0,512,0,0
Services,Developer III,0,0,512,0
Services,Director of Sales,0,0,0,512
Services,Engineer I,0,512,0,0
Services,Engineer III,0,0,1536,0
Services,Engineer IV,0,512,0,0
Services,Environmental Tech,0,512,0,0
Services,Executive Secretary,0,0,512,512
Services,Food Chemist,512,512,0,1024
Services,GIS Technical Architect,512,512,0,0
Services,General Manager,0,512,0,0
Services,Geological Engineer,0,0,0,512
Services,Geologist I,0,0,512,512
Services,Geologist II,512,512,0,0
Services,Geologist IV,0,0,0,1536
Services,Graphic Designer,0,512,0,0
Services,Health Coach III,0,0,0,512
Services,Health Coach IV,0,0,512,0
Services,Human Resources Assistant II,0,512,512,0
Services,Human Resources Assistant IV,512,0,0,512
Services,Human Resources Manager,0,512,0,512
Services,Information Systems Manager,0,0,512,0
Services,Internal Auditor,0,1536,0,0
Services,Junior Executive,0,512,512,0
Services,Legal Assistant,512,0,0,0
Services,Librarian,0,512,0,512
Services,Media Manager III,0,0,0,1024
Services,Media Manager IV,0,0,512,0
Services,Nuclear Power Engineer,512,0,0,0
Services,Nurse Practicioner,0,512,0,0
Services,Occupational Therapist,0,512,512,0
Services,Operator,0,0,512,0
Services,Payment Adjustment Coordinator,0,0,0,512
Services,Pharmacist,0,0,0,512
Services,Physical Therapy Assistant,0,512,512,0
Services,Professor,0,0,0,1024
Services,Programmer Analyst II,512,0,0,0
Services,Programmer I,512,0,1024,0
Services,Programmer III,0,0,1024,0
Services,Programmer IV,1024,1536,0,1536
Services,Project Manager,512,0,0,0
Services,Quality Control Specialist,0,0,1024,512
Services,Quality Engineer,0,512,512,512
Services,Recruiter,0,0,512,512
Services,Recruiting Manager,0,512,512,0
Services,Registered Nurse,0,512,0,0
Services,Research Assistant II,0,512,0,1024
Services,Research Assistant III,0,0,512,0
Services,Research Assistant IV,0,1024,512,512
Services,Safety Technician IV,0,0,0,512
Services,Sales Representative,0,512,0,512
Services,Senior Cost Accountant,512,1024,0,0
Services,Senior Developer,0,0,0,512
Services,Senior Editor,0,512,0,0
Services,Senior Financial Analyst,512,512,0,0
Services,Software Engineer I,0,1536,0,1536
Services,Software Engineer III,512,0,0,0
Services,Software Test Engineer III,0,0,0,512
Services,Software Test Engineer IV,512,512,512,512
Services,Staff Accountant III,0,0,512,0
Services,Staff Accountant IV,512,0,0,0
Services,Staff Scientist,0,512,0,0
Services,Statistician I,512,0,0,0
Services,Statistician II,512,0,0,512
Services,Statistician III,0,0,512,0
Services,Structural Analysis Engineer,0,512,512,512
Services,Systems Administrator IV,512,0,512,0
Services,Teacher,1536,1024,0,512
Services,VP Accounting,0,1024,0,0
Services,VP Product Management,0,0,1024,512
Services,VP Quality Control,0,0,512,0
Services,Web Designer I,512,0,512,0
Services,Web Designer II,0,512,512,0
Services,Web Designer III,512,0,0,0
Services,Web Developer I,512,512,512,0
Services,Web Developer II,0,512,0,0
Support,Account Coordinator,0,0,0,512
Support,Account Executive,0,512,1024,1024
Support,Account Representative III,0,0,0,1024
Support,Account Representative IV,0,512,0,512
Support,Accountant IV,0,1024,0,0
Support,Accounting Assistant I,512,0,512,0
Support,Accounting Assistant II,512,512,0,0
Support,Accounting Assistant III,0,0,512,0
Support,Accounting Assistant IV,0,1024,512,0
Support,Actuary,0,0,0,1024
Support,Administrative Assistant III,0,512,0,0
Support,Analog Circuit Design manager,512,0,0,0
Support,Analyst Programmer,0,0,512,512
Support,Assistant Manager,1024,0,512,0
Support,Assistant Media Planner,0,0,0,1024
Support,Assistant Professor,0,1024,0,0
Support,Associate Professor,0,1024,1536,0
Support,Automation Specialist I,512,0,1024,0
Support,Automation Specialist IV,0,0,0,512
Support,Biostatistician II,0,0,512,0
Support,Biostatistician III,0,0,0,1536
Support,Budget/Accounting Analyst I,512,0,0,0
Support,Budget/Accounting Analyst IV,512,0,0,0
Support,Chemical Engineer,512,0,0,0
Support,Chief Design Engineer,512,1536,0,512
Support,Civil Engineer,0,1024,512,0
Support,Clinical Specialist,512,512,1024,1024
Support,Computer Systems Analyst IV,0,512,0,0
Support,Cost Accountant,512,1024,0,512
Support,Data Coordiator,0,0,512,0
Support,Database Administrator I,0,0,0,512
Support,Database Administrator II,512,0,0,0
Support,Database Administrator III,0,512,512,0
Support,Dental Hygienist,0,0,512,0
Support,Developer II,0,0,0,512
Support,Director of Sales,512,0,0,1024
Support,Editor,0,0,512,512
Support,Electrical Engineer,0,0,0,512
Support,Engineer III,0,0,512,1024
Support,Engineer IV,0,512,512,0
Support,Environmental Tech,512,0,0,0
Support,Executive Secretary,512,0,0,0
Support,Food Chemist,512,0,0,0
Support,GIS Technical Architect,0,512,0,0
Support,General Manager,0,1024,0,0
Support,Geological Engineer,0,0,512,0
Support,Geologist II,0,0,0,1024
Support,Geologist IV,512,0,0,512
Support,Graphic Designer,0,0,512,0
Support,Health Coach III,512,512,0,512
Support,Health Coach IV,0,0,512,512
Support,Human Resources Assistant II,0,0,512,0
Support,Human Resources Assistant III,0,512,0,0
Support,Human Resources Assistant IV,0,512,0,0
Support,Junior Executive,512,0,0,512
Support,Marketing Manager,0,512,0,0
Support,Media Manager IV,0,0,512,0
Support,Nurse,512,0,0,0
Support,Nurse Practicioner,0,512,0,0
Support,Occupational Therapist,0,0,512,0
Support,Paralegal,0,512,0,0
Support,Pharmacist,0,512,0,512
Support,Product Engineer,0,0,0,512
Support,Professor,0,0,1024,0
Support,Programmer Analyst II,512,0,512,0
Support,Programmer I,512,0,0,0
Support,Programmer III,512,512,0,512
Support,Programmer IV,0,0,2048,1024
Support,Project Manager,0,0,512,0
Support,Quality Engineer,512,0,0,0
Support,Recruiter,1024,1536,1024,512
Support,Recruiting Manager,0,0,512,512
Support,Registered Nurse,0,0,512,1024
Support,Research Assistant III,0,0,512,0
Support,Research Assistant IV,0,0,0,1024
Support,Sales Representative,0,512,512,0
Support,Senior Cost Accountant,0,0,512,0
Support,Senior Developer,0,0,512,512
Support,Senior Editor,0,0,0,1536
Support,Senior Financial Analyst,512,1024,512,512
Support,Social Worker,0,0,512,0
Support,Software Engineer III,0,0,0,1024
Support,Software Test Engineer I,0,0,512,0
Support,Software Test Engineer IV,0,1024,512,512
Support,Speech Pathologist,0,512,0,0
Support,Staff Accountant III,512,0,512,0
Support,Staff Accountant IV,0,0,0,512
Support,Staff Scientist,0,0,512,512
Support,Statistician I,0,1024,0,0
Support,Statistician II,0,512,0,0
Support,Statistician III,0,512,0,0
Support,Structural Analysis Engineer,0,512,0,0
Support,Structural Engineer,0,512,0,0
Support,Systems Administrator II,0,0,512,512
Support,Systems Administrator IV,1024,2048,0,1024
Support,Teacher,0,512,512,0
Support,Technical Writer,0,512,512,0
Support,VP Accounting,0,1024,0,0
Support,VP Marketing,0,0,0,512
Support,VP Product Management,0,0,512,0
Support,VP Quality Control,0,0,0,512
Support,Web Designer I,512,2048,0,512
Support,Web Designer II,0,1024,512,0
Support,Web Designer IV,512,0,512,512
Support,Web Developer I,0,0,1024,0
Support,Web Developer II,0,0,0,512
Support,Web Developer III,0,512,0,0
Training,Account Coordinator,0,512,0,0
Training,Account Representative IV,512,0,0,0
Training,Accountant II,0,0,0,512
Training,Accountant IV,0,512,0,512
Training,Accounting Assistant I,0,0,0,512
Training,Accounting Assistant IV,0,0,0,512
Training,Actuary,0,0,512,0
Training,Analog Circuit Design manager,0,512,0,0
Training,Analyst Programmer,0,0,1024,0
Training,Budget/Accounting Analyst III,0,0,512,512
Training,Budget/Accounting Analyst IV,0,0,512,512
Training,Clinical Specialist,0,0,0,512
Training,Community Outreach Specialist,512,512,0,1024
Training,Computer Systems Analyst III,0,0,512,0
Training,Data Coordiator,0,512,0,0
Training,Database Administrator II,512,512,0,0
Training,Database Administrator III,0,0,0,1024
Training,Dental Hygienist,512,0,0,512
Training,Design Engineer,0,512,0,0
Training,Editor,0,512,512,0
Training,Engineer III,0,0,0,512
Training,Financial Analyst,0,0,0,512
Training,Food Chemist,512,512,1024,512
Training,Geological Engineer,0,0,0,512
Training,Geologist I,512,0,0,0
Training,Geologist II,0,512,512,512
Training,Geologist IV,0,512,0,0
Training,Graphic Designer,0,512,512,512
Training,Health Coach III,0,0,512,0
Training,Health Coach IV,0,512,0,0
Training,Human Resources Assistant II,0,512,0,0
Training,Human Resources Assistant IV,0,0,0,512
Training,Information Systems Manager,0,0,1024,0
Training,Internal Auditor,0,512,512,0
Training,Librarian,0,0,0,512
Training,Mechanical Systems Engineer,512,0,0,0
Training,Media Manager III,0,0,0,1024
Training,Nuclear Power Engineer,0,0,512,0
Training,Office Assistant II,0,0,512,0
Training,Operator,0,0,512,0
Training,Paralegal,0,0,0,512
Training,Pharmacist,0,1024,512,0
Training,Programmer I,0,0,512,0
Training,Programmer IV,0,512,512,512
Training,Quality Control Specialist,0,0,512,0
Training,Quality Engineer,1024,0,512,0
Training,Recruiter,0,0,0,1024
Training,Registered Nurse,512,0,0,0
Training,Research Assistant IV,512,0,512,1024
Training,Research Associate,0,0,512,0
Training,Sales Representative,0,512,512,1024
Training,Senior Editor,0,512,0,1024
Training,Senior Financial Analyst,0,0,0,512
Training,Software Engineer I,0,0,0,512
Training,Software Engineer III,0,0,512,0
Training,Software Test Engineer IV,512,0,0,0
Training,Staff Accountant III,0,0,0,512
Training,Staff Accountant IV,0,0,512,1024
Training,Staff Scientist,0,512,1024,0
Training,Statistician II,512,0,0,0
Training,Statistician III,0,512,0,0
Training,Structural Analysis Engineer,512,0,0,0
Training,Structural Engineer,0,512,0,0
Training,Systems Administrator II,0,512,0,0
Training,Systems Administrator IV,512,0,1024,0
Training,Teacher,0,1024,0,0
Training,Technical Writer,0,0,512,0
Training,VP Product Management,512,0,0,0
Training,VP Quality Control,0,512,0,0
Training,Web Developer III,0,512,0,0
